Date,Temp
7/1/2017,16.1
8/1/2017,15.1
9/1/2017,13.3
10/1/2017,12.2
11/1/2017,7.3
12/1/2017,5.7
1/1/2018,5.7
2/1/2018,3.3
3/1/2018,4.8
4/1/2018,9.4
5/1/2018,12.4
6/1/2018,16.1
7/1/2018,18.1
8/1/2018,16
9/1/2018,13.5
10/1/2018,10.3
11/1/2018,8.2
12/1/2018,7.6
1/1/2019,4.6
2/1/2019,6.9
3/1/2019,7.8
4/1/2019,9.2
5/1/2019,10.9
6/1/2019,13.9
7/1/2019,16.9
8/1/2019,16.4
9/1/2019,14.2
10/1/2019,10.4
11/1/2019,6.8
12/1/2019,6.3
1/1/2020,6.3
2/1/2020,6.6
3/1/2020,6.6
4/1/2020,10.6
5/1/2020,12.2
6/1/2020,14.4
7/1/2020,15.1
8/1/2020,16.8
9/1/2020,13.9
10/1/2020,10.4
11/1/2020,8.6
12/1/2020,5.7
1/1/2021,3.9
2/1/2021,5.3
3/1/2021,7
4/1/2021,6.8
5/1/2021,9.8
6/1/2021,14.7
7/1/2021,17.1
8/1/2021,15.3
9/1/2021,15.3
10/1/2021,12.1
11/1/2021,7.7
12/1/2021,7.4
1/1/2022,5.2
2/1/2022,7
3/1/2022,7.8
4/1/2022,8.9
5/1/2022,12.3
6/1/2022,14.2
7/1/2022,17.1
8/1/2022,17.9
9/1/2022,14.1
10/1/2022,12.8
11/1/2022,9.3
12/1/2022,4.2
1/1/2023,5.4
2/1/2023,6.1
3/1/2023,7.1
4/1/2023,8.7
5/1/2023,12.5
6/1/2023,16.8
7/1/2023,15.6
8/1/2023,15.9
9/1/2023,16.3
10/1/2023,12.5
11/1/2023,8.1
12/1/2023,7.8
