Year,Drug,,Value,,,,,,,,,,,,,,,,,,,
2015,Amphetamines,B,193,,,,,,,,,,,,,,,,,,,
2015,Methamphetamine,A,24,,,,,,,,,,,,,,,,,,,
2015,Cannabis,B,"2,174",,,,,,,,,,,,,,,,,,,
2015,Ketamine,B,159,,,,,,,,,,,,,,,,,,,
2015,Mephedrone ,B,162,,,,,,,,,,,,,,,,,,,
2015,Tranquillisers,B,173,,,,,,,,,,,,,,,,,,,
2015,Anabolic steroids,C,72,,,,,,,,,,,,,,,,,,,
2016,Any cocaine,A,738,,,,,,,,,,,,,,,,,,,
2016,Powder cocaine,A,725,,,,,,,,,,,,,,,,,,,
2016,Crack cocaine,A,31,,,,,,,,,,,,,,,,,,,
2016,Ecstasy,A,492,,,,,,,,,,,,,,,,,,,
2016,Hallucinogens,A,163,,,,,,,,,,,,,,,,,,,
2016,LSD,A,57,,,,,,,,,,,,,,,,,,,
2016,Magic mushrooms,A,129,,,,,,,,,,,,,,,,,,,
2016,Opiates,A,42,,,,,,,,,,,,,,,,,,,
2016,Heroin,A,27,,,,,,,,,,,,,,,,,,,
2016,Methadone,A,25,,,,,,,,,,,,,,,,,,,
2016,Amphetamines,B,198,,,,,,,,,,,,,,,,,,,
2016,Methamphetamine,A,15,,,,,,,,,,,,,,,,,,,
2016,Cannabis,B,"2,121",,,,,,,,,,,,,,,,,,,
2016,Ketamine,B,94,,,,,,,,,,,,,,,,,,,
2016,Mephedrone ,B,89,,,,,,,,,,,,,,,,,,,
2016,Tranquillisers,B,126,,,,,,,,,,,,,,,,,,,
2016,Anabolic steroids,C,54,,,,,,,,,,,,,,,,,,,
2017,Any cocaine,A,764,,,,,,,,,,,,,,,,,,,
2017,Powder cocaine,A,760,,,,,,,,,,,,,,,,,,,
2017,Crack cocaine,A,19,,,,,,,,,,,,,,,,,,,
2017,Ecstasy,A,439,,,,,,,,,,,,,,,,,,,
2017,Hallucinogens,A,144,,,,,,,,,,,,,,,,,,,
2017,LSD,A,84,,,,,,,,,,,,,,,,,,,
2017,Magic mushrooms,A,84,,,,,,,,,,,,,,,,,,,
2017,Opiates,A,24,,,,,,,,,,,,,,,,,,,
2017,Heroin,A,15,,,,,,,,,,,,,,,,,,,
2017,Methadone,A,13,,,,,,,,,,,,,,,,,,,
2017,Amphetamines,B,145,,,,,,,,,,,,,,,,,,,
2017,Methamphetamine,A,16,,,,,,,,,,,,,,,,,,,
2017,Cannabis,B,"2,177",,,,,,,,,,,,,,,,,,,
2017,Ketamine,B,116,,,,,,,,,,,,,,,,,,,
2017,Mephedrone ,B,48,,,,,,,,,,,,,,,,,,,
2017,Tranquillisers,B,136,,,,,,,,,,,,,,,,,,,
2017,Anabolic steroids,C,61,,,,,,,,,,,,,,,,,,,
2018,Any cocaine,A,903,,,,,,,,,,,,,,,,,,,
2018,Powder cocaine,A,895,,,,,,,,,,,,,,,,,,,
2018,Crack cocaine,A,23,,,,,,,,,,,,,,,,,,,
2018,Ecstasy,A,559,,,,,,,,,,,,,,,,,,,
2018,Hallucinogens,A,223,,,,,,,,,,,,,,,,,,,
2018,LSD,A,134,,,,,,,,,,,,,,,,,,,
2018,Magic mushrooms,A,142,,,,,,,,,,,,,,,,,,,
2018,Opiates,A,32,,,,,,,,,,,,,,,,,,,
2018,Heroin,A,23,,,,,,,,,,,,,,,,,,,
2018,Methadone,A,19,,,,,,,,,,,,,,,,,,,
2018,Amphetamines,B,173,,,,,,,,,,,,,,,,,,,
2018,Methamphetamine,A,16,,,,,,,,,,,,,,,,,,,
2018,Cannabis,B,"2,420",,,,,,,,,,,,,,,,,,,
2018,Ketamine,B,266,,,,,,,,,,,,,,,,,,,
2018,Mephedrone ,B,30,,,,,,,,,,,,,,,,,,,
2018,Tranquillisers,B,205,,,,,,,,,,,,,,,,,,,
2018,Anabolic steroids,C,62,,,,,,,,,,,,,,,,,,,
2019,Any cocaine,A,987,,,,,,,,,,,,,,,,,,,
2019,Powder cocaine,A,976,,,,,,,,,,,,,,,,,,,
2019,Crack cocaine,A,27,,,,,,,,,,,,,,,,,,,
2019,Ecstasy,A,524,,,,,,,,,,,,,,,,,,,
2019,Hallucinogens,A,240,,,,,,,,,,,,,,,,,,,
2019,LSD,A,119,,,,,,,,,,,,,,,,,,,
2019,Magic mushrooms,A,170,,,,,,,,,,,,,,,,,,,
2019,Opiates,A,32,,,,,,,,,,,,,,,,,,,
2019,Heroin,A,22,,,,,,,,,,,,,,,,,,,
2019,Methadone,A,19,,,,,,,,,,,,,,,,,,,
2019,Amphetamines,B,188,,,,,,,,,,,,,,,,,,,
2019,Methamphetamine,A,11,,,,,,,,,,,,,,,,,,,
2019,Cannabis,B,"2,572",,,,,,,,,,,,,,,,,,,
2019,Ketamine,B,261,,,,,,,,,,,,,,,,,,,
2019,Mephedrone ,B,8,,,,,,,,,,,,,,,,,,,
2019,Tranquillisers,B,135,,,,,,,,,,,,,,,,,,,
2019,Anabolic steroids,C,62,,,,,,,,,,,,,,,,,,,
2020,Any cocaine,A,871,,,,,,,,,,,,,,,,,,,
2020,Powder cocaine,A,857,,,,,,,,,,,,,,,,,,,
2020,Crack cocaine,A,22,,,,,,,,,,,,,,,,,,,
2020,Ecstasy,A,463,,,,,,,,,,,,,,,,,,,
2020,Hallucinogens,A,225,,,,,,,,,,,,,,,,,,,
2020,LSD,A,93,,,,,,,,,,,,,,,,,,,
2020,Magic mushrooms,A,166,,,,,,,,,,,,,,,,,,,
2020,Opiates,A,22,,,,,,,,,,,,,,,,,,,
2020,Heroin,A,11,,,,,,,,,,,,,,,,,,,
2020,Methadone,A,16,,,,,,,,,,,,,,,,,,,
2020,Amphetamines,B,107,,,,,,,,,,,,,,,,,,,
2020,Methamphetamine,A,10,,,,,,,,,,,,,,,,,,,
2020,Cannabis,B,"2,570",,,,,,,,,,,,,,,,,,,
2020,Ketamine,B,277,,,,,,,,,,,,,,,,,,,
2020,Mephedrone ,B,11,,,,,,,,,,,,,,,,,,,
2020,Tranquillisers,B,164,,,,,,,,,,,,,,,,,,,
2020,Anabolic steroids,C,31,,,,,,,,,,,,,,,,,,,
2021,Any cocaine,A,815,,,,,,,,,,,,,,,,,,,
2021,Powder cocaine,A,810,,,,,,,,,,,,,,,,,,,
2021,Crack cocaine,A,33,,,,,,,,,,,,,,,,,,,
2021,Ecstasy,A,366,,,,,,,,,,,,,,,,,,,
2021,Hallucinogens,A,341,,,,,,,,,,,,,,,,,,,
2021,LSD,A,129,,,,,,,,,,,,,,,,,,,
2021,Magic mushrooms,A,279,,,,,,,,,,,,,,,,,,,
2021,Opiates,A,30,,,,,,,,,,,,,,,,,,,
2021,Heroin,A,13,,,,,,,,,,,,,,,,,,,
2021,Methadone,A,21,,,,,,,,,,,,,,,,,,,
2021,Amphetamines,B,105,,,,,,,,,,,,,,,,,,,
2021,Methamphetamine,A,17,,,,,,,,,,,,,,,,,,,
2021,Cannabis,B,"2,515",,,,,,,,,,,,,,,,,,,
2021,Ketamine,B,299,,,,,,,,,,,,,,,,,,,
2021,Mephedrone ,B,8,,,,,,,,,,,,,,,,,,,
2021,Tranquillisers,B,151,,,,,,,,,,,,,,,,,,,
2021,Anabolic steroids,C,34,,,,,,,,,,,,,,,,,,,
