ITL121NM,Value
Baden-Württemberg,"11,339,260"
Bayern,"13,435,062"
Berlin,"3,782,202"
Brandenburg,"2,581,667"
Bremen,"691,703"
Hamburg,"1,910,160"
Hessen,"6,420,729"
Mecklenburg-Vorpommern,"1,629,464"
Niedersachsen,"8,161,981"
Nordrhein-Westfalen,"18,190,422"
Rheinland-Pfalz,"4,174,311"
Saarland,"994,424"
Sachsen,"4,089,467"
Sachsen-Anhalt,"2,180,448"
Schleswig-Holstein,"2,965,691"
Thüringen,"2,122,335"
